frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,hip.Center_x,hip.Center_y,hip.Center_z
11,-1.49778894,-8.3377814,-7.1626538,-1.1088447799999996,-4.38096717,-3.2726128399999994,-0.6499228859999999,-0.0018139765000000276,-2.3495274500000005,1.6112684899999998,-0.24846419599999994,-2.6617424400000003,1.0823197000000002,-4.805431920000004,-3.9284936599999982,0.7279209800000006,-8.832358899999997,-7.466793300000001,-1.6744499500000005,0.4582218189999999,-0.16521990769999995,-1.5677929199999996,3.0372206500000005,-1.9433848000000005,-0.8610911600000004,5.8639807,-2.24518882,2.7068767599999997,5.651762100000001,-3.201273,3.02468394,2.7193619799999995,-1.9269330299999998,2.812485679999999,-0.0007370394999999998,-0.9155795,0.9228930200000003,5.757871299999999,-3.04180501,1.2396225499999998,9.856885899999998,-3.6371445,1.0812573100000002,7.807378799999997,-3.1308435900000005,0.48067328199999976,-0.125138847,-2.4869855800000003
12,-1.5216763,-8.248001200000001,-7.379740400000001,-1.1673300199999996,-4.30698534,-3.3470249799999996,-0.6338293559999999,-0.01460624300000003,-2.4590271900000005,1.60261989,-0.22665835399999995,-2.5524326900000003,1.0709655400000002,-4.842421320000003,-3.963824129999998,0.7147863100000006,-8.925451899999999,-7.361655500000001,-1.6992485500000005,0.44722436899999984,-0.09094077529999996,-1.5925915199999996,3.0396678300000004,-1.9231641000000006,-0.8459083800000003,5.8807694999999995,-2.28176602,2.73998951,5.631247000000001,-3.0679782500000004,3.023185,2.7200143299999997,-1.9136732499999998,2.845598429999999,-0.0499215165,-0.99234111,0.9470408100000003,5.756008199999999,-2.96317196,1.1927664299999998,9.839252999999998,-3.5792928399999995,1.0699031500000002,7.797630799999997,-3.0469396800000004,0.4843957459999998,-0.12063217700000001,-2.4866736
13,-1.4906567599999998,-8.170760300000001,-7.708819200000001,-1.1714557699999997,-4.22025268,-3.64015985,-0.6366599959999999,0.010489763999999971,-2.5560628500000004,1.6049691099999999,-0.23800248099999996,-2.4530735100000003,1.0724474000000002,-4.900536490000003,-4.048995729999998,0.7509719000000006,-9.029029999999999,-7.342060000000001,-1.7046546100000008,0.4376166489999998,0.021576522700000045,-1.5975708099999997,3.0365214700000003,-1.9003077800000003,-0.8131679260000003,5.884524999999999,-2.34268858,2.7813550100000004,5.634134600000001,-2.9836063800000003,3.0649629499999995,2.7159993899999995,-1.9434904499999996,2.8869639299999994,-0.0963959065,-1.0705113499999999,0.9840937700000004,5.759329599999999,-2.9445539,1.2298193899999998,9.780923799999998,-3.57153604,1.10695611,7.770126899999997,-3.01227268,0.4841552859999998,-0.11375659500000002,-2.48537296
14,-1.47415834,-7.997164900000001,-7.571883700000001,-1.1878104799999996,-4.04491528,-3.48698163,-0.6480789659999999,0.013399257999999975,-2.6922022900000004,1.6149634599999998,-0.23838817099999993,-2.3260492500000005,1.11201425,-4.909254690000003,-3.913391709999998,0.7527351000000005,-9.041144499999998,-7.1893554,-1.7259455400000006,0.4799710689999998,0.07300901070000004,-1.5827127099999996,3.06743537,-1.8986031700000006,-0.7555842760000003,5.9056538,-2.4003169599999996,2.83739941,5.653608100000001,-2.8160542200000007,3.0881537499999996,2.7436324199999995,-1.7711502599999998,2.9084996299999992,-0.0951410375,-1.00805065,1.0409078200000004,5.7796308,-2.88180754,1.1831216399999998,9.839144299999997,-3.5569282399999995,1.1120142499999999,7.809387699999997,-2.98927968,0.4834432199999998,-0.11249457300000001,-2.48444576
15,-1.41032135,-7.8111016000000015,-7.341283500000001,-1.2671285899999996,-3.84212068,-3.3246118,-0.6531463659999999,0.016313723999999974,-2.87909102,1.6197784999999998,-0.23623926699999992,-2.1463363600000003,1.1145471500000002,-4.926885680000003,-3.6483271399999984,0.7537502200000006,-9.112632399999997,-6.847468300000001,-1.7355791400000007,0.4851686239999998,0.13823312270000004,-1.5915800299999996,3.08328143,-1.9343138900000008,-0.7250581760000003,5.933679499999999,-2.48808456,2.8831255600000003,5.680868100000001,-2.6077635800000007,3.0990517499999997,2.7579611799999992,-1.6337129199999998,2.9186313299999993,-0.12858588150000003,-0.9671719940000001,1.0790337500000002,5.807273699999999,-2.8122374800000003,1.2227791599999998,9.884283799999997,-3.4911954399999994,1.1509064599999999,7.845778699999996,-2.91107943,0.4833167899999998,-0.10996276900000003,-2.4834307599999996
16,-1.34781834,-7.644980200000002,-7.2621352,-1.3120207499999996,-3.6204849799999996,-3.371971,-0.6590537559999998,0.04052408349999998,-3.0406374,1.6251692899999997,-0.2492739389999999,-1.9923346000000004,1.1173363200000002,-4.998899380000003,-3.521653559999998,0.7547860600000006,-9.204639699999998,-6.5967413000000015,-1.7467036000000007,0.4756122399999998,0.21027806140000002,-1.6018428499999997,3.08590009,-1.9838882400000006,-0.6954597960000003,5.950197499999999,-2.57242186,2.9664849,5.696509200000001,-2.4060148300000006,3.14776745,2.723320049999999,-1.5000205899999997,2.930102249999999,-0.17712632700000003,-0.9047661940000002,1.1355128800000003,5.823353299999998,-2.73765496,1.2446437199999998,9.920357099999997,-3.439526739999999,1.1900783099999996,7.871855199999995,-2.8192102299999995,0.48305848499999976,-0.10437480800000001,-2.4818185399999995
17,-1.28112571,-7.448862000000002,-7.156253700000001,-1.3550921999999996,-3.38132188,-3.41606207,-0.6642786659999997,0.06594494299999998,-3.14044974,1.6234100599999997,-0.2608179709999999,-1.9037754000000002,1.1514109000000001,-5.091335280000003,-3.450324329999998,0.7882736500000006,-9.303728099999997,-6.399185100000001,-1.7536474800000006,0.5016060199999999,0.24805676700000004,-1.5721155699999996,3.0795402199999997,-2.0498666800000005,-0.6642786660000004,5.948464099999999,-2.65710082,3.0401246,5.694217900000002,-2.2879208300000005,3.2217003900000005,2.6797163899999985,-1.4111313599999997,2.967056009999999,-0.225356539,-0.8419950840000002,1.1879228100000003,5.821340899999999,-2.71879248,1.3337248199999998,9.998061999999997,-3.411875599999999,1.2608240699999995,7.909701299999995,-2.7591091399999996,0.4795664009999998,-0.09743639500000002,-2.48012162
18,-1.29563632,-7.252584700000002,-7.096633600000001,-1.4433580599999996,-3.14608637,-3.4314296000000004,-0.6717006099999997,0.07578503099999997,-3.2534621,1.6372240599999996,-0.2545074299999999,-1.80055121,1.1239241300000002,-5.2065832100000025,-3.3735960799999978,0.7572425500000006,-9.497476999999998,-6.190882800000001,-1.8094741100000007,0.4772344699999999,0.27748894500000004,-1.6261545399999995,3.0439498699999996,-2.089131240000001,-0.7094718400000004,5.941213399999999,-2.77193369,3.06810065,5.683423000000002,-2.1631727500000006,3.2514631400000003,2.6028405299999986,-1.3137670599999998,2.957276109999999,-0.29280054899999997,-0.6892921040000003,1.1793145000000003,5.8123182999999985,-2.6983833799999997,1.3628724699999997,10.027997099999997,-3.3433173299999988,1.2710932599999993,7.920157499999995,-2.6393295099999996,0.4827621759999998,-0.08936084300000002,-2.4787776999999998
19,-1.25940567,-6.988441300000002,-6.807565700000001,-1.5153150799999995,-2.84907733,-3.3574279700000003,-0.6720443199999997,0.08171860999999997,-3.3374562,1.6350111599999997,-0.24830013999999995,-1.7236063700000002,1.1221370300000004,-5.340701660000002,-3.314127339999998,0.7557439400000007,-9.628298399999998,-5.985077400000001,-1.8449941000000007,0.44671527999999994,0.23282969100000003,-1.6257987299999994,3.0114399099999996,-2.1551016300000008,-0.6738186400000004,5.978570299999999,-2.92964369,3.13690932,5.684919100000003,-2.0559886600000006,3.3201202000000003,2.5345923199999985,-1.2286243899999998,2.990072109999999,-0.35875446099999997,-0.5899931540000003,1.2315454200000004,5.831744799999998,-2.6946694399999997,1.3790912199999998,10.080153799999998,-3.272786629999999,1.3053183399999995,7.9559490999999944,-2.5424360699999995,0.4814838659999998,-0.08329041150000002,-2.4786785599999996
20,-1.28981462,-6.806016000000001,-6.585652100000002,-1.5848380199999994,-2.5985731100000002,-3.375718,-0.6605707599999997,0.13061680399999998,-3.4163740500000004,1.6266768999999999,-0.2762440179999999,-1.64872672,1.1096495300000004,-5.479976500000003,-3.386966209999998,0.7405027100000007,-9.838405799999999,-5.9103852,-1.8795405700000007,0.424279354,0.23424863900000004,-1.6589766699999993,2.97058039,-2.2170347600000007,-0.7000896000000003,5.997514299999999,-3.1194800299999996,3.17596416,5.664750000000002,-1.9751074800000006,3.36055976,2.4532348099999988,-1.1453659099999998,2.991398159999999,-0.462171179,-0.5770564400000003,1.2379373300000005,5.831132199999999,-2.7190825,1.3504937899999998,10.073531,-3.2264794299999986,1.2942155699999995,7.9523314999999934,-2.4588743499999994,0.48305305599999976,-0.07281337250000001,-2.47678954
21,-1.33150053,-6.573156700000001,-6.084447000000002,-1.6269230499999994,-2.3197385300000004,-3.1091681700000002,-0.6642775399999997,0.15922153699999997,-3.4486693500000003,1.62817241,-0.28523455899999994,-1.61915152,1.1099324400000004,-5.646884100000003,-3.4262733499999976,0.7400026600000007,-10.0145214,-5.9247832,-1.9224390800000009,0.380118497,0.20819991900000007,-1.6646790199999992,2.93200569,-2.2458429600000005,-0.6670141150000003,6.002137099999999,-3.3252027899999996,3.2174334599999996,5.632191500000003,-1.9272674500000007,3.4024281600000004,2.377095589999999,-1.1464445199999997,3.0324835799999987,-0.581492074,-0.5692739600000004,1.2752094500000004,5.817164199999999,-2.77724263,1.3881502499999998,10.1055532,-3.1968157299999986,1.3316798499999996,7.961358699999993,-2.3929378099999994,0.4819469459999998,-0.06300651450000001,-2.47583367
22,-1.40211345,-6.368559100000001,-5.634568600000002,-1.7299027399999993,-2.0777889300000005,-2.7783995200000002,-0.6687278799999998,0.20192185899999998,-3.49598141,1.6416825999999998,-0.31015666299999994,-1.5751202599999998,1.0558366800000003,-5.807686300000003,-3.4839547899999976,0.7240214500000007,-10.0012308,-6.1160708999999995,-2.023988250000001,0.31418983199999995,0.12390980100000007,-1.7324018499999994,2.91640459,-2.2752339600000004,-0.7067051050000004,5.998747999999999,-3.536644629999999,3.2179842099999996,5.631661700000003,-1.8947244200000006,3.40153412,2.330573949999999,-1.1374568499999997,2.9992389699999986,-0.675466634,-0.5365232000000004,1.2556390800000004,5.815204799999998,-2.86859872,1.3671498299999998,10.1395162,-3.2062765299999985,1.3113946799999996,7.977360599999994,-2.3426067699999993,0.4864768799999998,-0.05411728250000001,-2.4747512499999997
23,-1.42784587,-6.1287904000000015,-4.990357050000003,-1.8230937999999992,-1.7567983800000002,-2.36986145,-0.6701158699999998,0.237078091,-3.5389250100000003,1.6431408699999999,-0.3397792399999999,-1.5340350399999998,1.0653487100000003,-5.902423800000003,-3.587244139999998,0.7739840600000006,-9.8561108,-6.3899334,-2.0767282600000008,0.276498225,-0.06981205499999993,-1.7527603199999993,2.9463545,-2.3935506400000004,-0.6703218650000003,6.020797199999999,-3.7058570999999993,3.2330380599999997,5.659085100000003,-1.8197769700000004,3.4138938500000005,2.3335012199999987,-1.1278913899999996,3.0169726699999986,-0.7374862339999999,-0.6113332500000004,1.2813578600000004,5.839940999999999,-2.92336212,1.35509643,10.2454424,-3.1919601499999986,1.3182273699999998,8.042691699999994,-2.3347463799999995,0.4865117899999998,-0.051350451500000005,-2.4746313499999997
24,-1.5041518900000002,-5.987707900000002,-4.650323250000002,-1.932992999999999,-1.5286083300000004,-2.1769816200000003,-0.6784196599999998,0.278781414,-3.57579415,1.65958397,-0.3668797099999999,-1.5002605399999998,1.0489997200000003,-6.010991700000003,-3.663479439999998,0.7944492800000006,-9.770146299999999,-6.597247000000001,-2.1146026300000007,0.21098113400000001,-0.14797743699999993,-1.8274484299999993,2.93997856,-2.4248966000000003,-0.7146225650000004,6.035946499999999,-3.8128256999999994,3.24223654,5.675836800000003,-1.7532770000000004,3.422291730000001,2.2943336999999984,-1.1407406899999997,2.9917783399999984,-0.8341915799999999,-0.6393823600000004,1.2638072500000006,5.855891499999999,-2.95524248,1.3383473799999999,10.242067,-3.1343436499999986,1.3010768099999999,8.048979299999992,-2.2524183599999996,0.4905809739999998,-0.0440490236,-2.47351224
25,-1.5467051100000002,-5.774356000000002,-4.425327820000002,-2.0404680799999992,-1.2356147900000003,-1.9736413900000005,-0.6964562899999998,0.29443241200000003,-3.5736201999999997,1.68006149,-0.37842273599999987,-1.5053685999999997,1.0422989300000003,-6.088980600000002,-3.710423199999998,0.8281227700000006,-9.5364469,-6.7728673000000015,-2.149250360000001,0.18888761000000004,-0.26998382099999996,-1.8647259199999993,2.98883632,-2.4598082300000006,-0.6949146750000005,6.0399246999999985,-3.8692222999999992,3.2766796,5.685090200000003,-1.7476302700000002,3.4540888700000005,2.3160295499999983,-1.2013328299999997,3.028851189999999,-0.8404428999999999,-0.6225307000000003,1.2908827500000006,5.862507399999999,-3.0069131799999997,1.2925798,10.330986200000002,-3.1317202499999985,1.29173053,8.096746799999993,-2.21862208,0.49180188399999974,-0.0419950356,-2.4733746399999994
26,-1.5705157600000001,-5.577698700000002,-4.424249920000002,-2.165519839999999,-0.9899634800000002,-1.9243578900000005,-0.6948367399999997,0.30803901300000003,-3.6005906299999997,1.6866553999999998,-0.3924939099999999,-1.4835028199999998,1.0211981500000002,-6.136149200000002,-3.708794539999998,0.8460687400000007,-9.255302700000001,-6.811416600000001,-2.2007380700000008,0.20249421100000004,-0.380822356,-1.920757889999999,3.03965462,-2.4784516400000007,-0.7645789500000005,6.086612799999999,-3.8931925299999994,3.2628329000000003,5.736322100000003,-1.7523621,3.4379624,2.3391542999999984,-1.2419228499999997,3.017252779999999,-0.8477057799999999,-0.5967274260000004,1.2491272800000006,5.911467499999999,-3.04444482,1.21404254,10.394437500000002,-3.0804302499999983,1.2315844099999997,8.152952499999992,-2.13989686,0.4959090839999998,-0.0422269626,-2.4731644699999995
27,-1.5656703200000002,-5.425318900000002,-4.179379820000001,-2.229041879999999,-0.7088473600000003,-1.8602046400000005,-0.6921055899999997,0.305917904,-3.60222758,1.6839129399999997,-0.3929105609999999,-1.48112388,1.0201269900000003,-6.122635400000002,-3.621820599999998,0.8802549200000006,-9.129297300000001,-6.5599094000000004,-2.1942046400000006,0.27046101200000006,-0.41914909599999994,-1.880245029999999,3.0660378999999995,-2.5136506400000007,-0.7614219900000005,6.140616,-3.87491349,3.2562713800000003,5.791193800000003,-1.73191806,3.4309908,2.3672095999999985,-1.2764886699999998,3.046357729999999,-0.8468607199999998,-0.6052932060000005,1.2474257400000006,5.965904899999999,-3.0411009599999996,1.21193092,10.437877700000001,-2.9662493499999982,1.2296773599999997,8.201891399999992,-2.0460071899999996,0.4959036539999998,-0.043495966600000005,-2.4735111599999997
28,-1.56209053,-5.309586300000003,-4.127717670000001,-2.294060829999999,-0.5316614600000003,-1.8578084100000003,-0.6900960199999997,0.306788746,-3.60032356,1.6818999099999994,-0.3907965969999999,-1.48671712,1.0190466600000003,-6.145360900000002,-3.543907099999998,0.8794850000000006,-9.041822300000002,-6.315000900000001,-2.1546155300000005,0.34117419500000007,-0.366716446,-1.8412777299999992,3.0967034399999998,-2.4934696400000007,-0.7941781400000005,6.1659991,-3.86678949,3.25146268,5.817198400000004,-1.73508003,3.4606369000000003,2.3643518299999986,-1.3244238799999999,3.076625129999999,-0.8789076199999999,-0.6243796560000004,1.2286433000000008,5.991598699999999,-3.0557633599999994,1.2279304199999999,10.4555252,-2.8985079999999983,1.2282861299999999,8.223562099999992,-1.9560787099999999,0.4959028779999999,-0.0420035676,-2.47293846
29,-1.5517333300000002,-5.178746900000003,-4.070086070000001,-2.349325959999999,-0.3572384900000003,-1.7676867800000002,-0.6845381799999997,0.302299306,-3.60983112,1.6740543299999993,-0.3914494069999999,-1.48258105,1.0150372400000003,-6.114391800000003,-3.445332739999998,0.9106704500000006,-8.890870000000001,-6.0818218,-2.1413849000000003,0.44039182600000004,-0.33402025899999993,-1.7947629199999993,3.1463434099999996,-2.481666970000001,-0.8228681800000006,6.1983996999999995,-3.9006475300000005,3.23498158,5.851525400000004,-1.75336012,3.443192110000001,2.4178283999999985,-1.35402757,3.096301159999999,-0.87668724,-0.6740305060000005,1.2060572500000006,6.0249625999999985,-3.1072279999999997,1.2405716699999998,10.5343986,-2.9022881999999983,1.2233144499999997,8.279680799999992,-1.9304212299999999,0.49475875999999985,-0.04457493,-2.47294299
30,-1.5345003100000003,-5.172669400000003,-4.180617340000001,-2.366498649999999,-0.35483164400000033,-1.8611661800000001,-0.6679817999999997,0.30401306599999994,-3.6108390900000003,1.6537359399999993,-0.3891779859999999,-1.48511329,1.0302398900000003,-6.142719500000002,-3.4723399799999974,0.9260085200000006,-8.916729100000001,-6.011362399999999,-2.1237298700000005,0.47705274000000003,-0.2643227624999999,-1.7422954499999994,3.14587514,-2.4273181500000005,-0.8412754100000006,6.1955979999999995,-3.9153267700000005,3.2483918099999998,5.848994200000004,-1.7801184699999997,3.4564678100000013,2.4179015999999987,-1.40339841,3.1098639599999993,-0.9091250200000001,-0.7017749460000005,1.2035587300000006,6.022296099999998,-3.1430474299999998,1.2731721799999998,10.528180299999999,-2.9024732299999982,1.2383654499999996,8.275238499999993,-1.9009981699999998,0.49287774999999984,-0.042582221999999996,-2.47213407
31,-1.5643800600000004,-5.241217200000003,-3.8603911900000014,-2.4006108099999994,-0.35925527400000035,-1.6654313800000002,-0.6570118699999997,0.30487136499999995,-3.62649516,1.6439319899999993,-0.3925518559999999,-1.4670366299999997,1.0162211700000003,-6.075359200000002,-3.353916879999997,0.9109236000000006,-9.0430539,-5.873988099999999,-2.1222904800000006,0.47791103900000004,-0.28750512249999993,-1.7387393799999995,3.1280921999999998,-2.5088202700000006,-0.8313721500000005,6.1968578999999995,-3.917654540000001,3.2125497499999995,5.848138400000004,-1.7047221399999999,3.421691980000001,2.4314547399999986,-1.2897466800000001,3.0729718999999993,-0.91568083,-0.7324786700000004,1.1905895400000006,6.022498199999998,-3.10712559,1.2602029899999998,10.484753099999999,-2.877821729999998,1.2253962599999997,8.253625899999994,-1.9224346599999997,0.49346027999999986,-0.043840367,-2.47202818
